date/time	settlement id	type	order id	sku	quantity	marketplace	fulfillment	order city	order state	order postal	product sales	shipping credits	gift wrap credits	promotional rebates	sales tax collected	selling fees	fba fees	other transaction fees	other	total	description
2016-03-08	6066231731	Order	113-0463007-6079430	DS-PFA5-RTV4	1	amazon.com	Amazon	BALDWIN	NY	11510-3644	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-08	6066231731	Order	105-4632582-2093014	DS-PFA5-RTV4	1	amazon.com	Amazon	ny	ny	10023	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-08	6066231731	Service Fee									0	0	0	0	0	0	0	0	-26.40	-26.40	FBA Inventory Placement Service Fee
2016-03-08	6066231731	FBA Inventory Fee									0	0	0	0	0	0	0	0	-1.00	-1.00	FBA Removal Order: Return Fee
2016-03-08	6066231731	Service Fee									0	0	0	0	0	0	0	0	-5.60	-5.60	FBA Inventory Placement Service Fee
2016-03-08	6066231731	Order	102-5085457-5329035	OQ-PKAJ-8I08	1	amazon.com	Amazon	RIVERSIDE	CA	92507-4699	70.99	0	0	0	0	-5.68	-8.88	0	0	56.43	Crosley CR8005A-GR Cruiser Portable Turntable (Green)
2016-03-08	6066231731	Order	108-1627717-6567418	EA-E17A-HV0V	1	amazon.com	Amazon	Singapore		048619	188.80	100.49	0	0	0	-28.32	-114.44	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-08	6066231731	Order	107-9900932-2548254	DS-PFA5-RTV4	1	amazon.com	Amazon	Beaverton	OREGON	97006	72.98	0	0	0	0	-10.95	-5.96	0	0	56.07	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-08	6066231731	Order	115-6655081-5863445	4G-COQE-0YA2	1	amazon.com	Amazon	Elk Grove	CA	95758	309.99	0	0	0	0	-26.15	0	0	0	283.84	Xbox One 500GB Console - The LEGO Movie Videogame Bundle
2016-03-08	6066231731	Order	113-3530862-0275454	EA-E17A-HV0V	1	amazon.com	Amazon	ROUND ROCK	TX	78681-7471	188.80	12.08	0	0	0	-28.32	-26.03	0	0	146.53	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
