return-date	order-id	sku	asin	fnsku	product-name	quantity	fulfillment-center-id	detailed-disposition	reason	status
2017-01-13	114-0049434-0858663	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Magnetic Windshield Cover - Huge Size Fits Any Car, Truck, SUV, Van or Automobile - Keeps Ice & Snow Off - Top Quality Exterior Auto Snow Win	1	LEX2	CUSTOMER_DAMAGED	QUALITY_UNACCEPTABLE	Reimbursed
2017-01-13	111-1867299-7886606	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-12	110-6742384-0950609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-12	110-6742384-0950609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-12	110-6742384-0950609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-12	110-6742384-0950609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LEX2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
2017-01-12	103-9702305-4678600	GH-100B-2	B01HLJ7K78	X00150D7BJ	New Version FULL SET 100ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Flexible, Expanding Garden and Utility Water Hose, Spr	1	LEX2	DEFECTIVE	DEFECTIVE	Unit returned to inventory
2017-01-12	105-0494611-7450609	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Universal Magnetic Snow Cover	1	LAS2	CUSTOMER_DAMAGED	UNAUTHORIZED_PURCHASE	Unit returned to inventory
2017-01-12	106-5330212-4671435	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LEX1	DEFECTIVE	NOT_COMPATIBLE	Unit returned to inventory
2017-01-12	108-0460244-9739401	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	1	LAS2	SELLABLE	QUALITY_UNACCEPTABLE	Unit returned to inventory
