return-date	order-id	sku	asin	fnsku
2016-12-14	108-6710155-4242664	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-14	107-9459881-7483431	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-14	110-4466510-0127460	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-13	108-3194892-3974614	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-12	108-0806748-9205032	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-12	002-2149793-8498662	GH-100B-2	B01HLJ7K78	X00150D7BJ
2016-12-11	103-5284641-3053852	GH-25B-2	B01HLJ7K6Y	X00150DKKR
2016-12-09	102-0634601-1887452	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-08	112-8981180-0709817	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-08	113-2422564-9580208	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-07	102-7965501-3115415	GH-75B-2	B01HLJ7K82	X00150D7B9
2016-12-06	113-7596055-1787432	I3552-4041BLK	B019TTJ8BE	X00153TOLN
2016-12-03	103-4908677-4356228	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-02	111-3179532-6907443	I3552-4041BLK T	B01MECG3SG	X0019C6215
2016-12-01	116-2505867-1548267	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-12-01	103-7976852-8972261	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-30	106-7465689-3041026	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-30	104-2886760-0806641	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-28	104-9771348-9334651	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-27	105-5196469-2808238	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-26	002-5784590-7433009	HP 14-AF110NR	B013KKFFZ6	X0014RAS51
2016-11-26	116-5615182-0253019	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-24	108-1109418-4323428	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-24	108-5989815-7371408	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-24	108-5989815-7371408	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-24	108-5989815-7371408	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-24	113-2250245-2166627	IceKing-SC-70	B01BE5Q4FY	X000YC2AS5
2016-11-24	109-9280318-0802619	C40 A6 8GB 1TB	B011HNTGVC	X0014AWUCH
