adjusted-date	transaction-item-id	fnsku	sku	product-name	fulfillment-center-id	quantity	reason	disposition
2016-08-29T07:00:00+00:00	58480130172	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	ONT2	-1	M	UNSELLABLE
2016-08-28T07:00:00+00:00	101154430112	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX6	-1	M	SELLABLE
2016-08-26T07:00:00+00:00	101089768112	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX6	1	F	SELLABLE
2016-08-26T07:00:00+00:00	58336845606	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	EWR4	1	P	UNSELLABLE
2016-08-26T07:00:00+00:00	101089831112	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX6	-1	M	SELLABLE
2016-08-26T07:00:00+00:00	58336844606	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	EWR4	-1	E	SELLABLE
2016-08-26T07:00:00+00:00	101094125112	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX6	1	F	SELLABLE
2016-08-26T07:00:00+00:00	58336843606	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	EWR4	1	F	SELLABLE
2016-08-26T07:00:00+00:00	101094170112	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX6	-1	M	SELLABLE
2016-08-24T07:00:00+00:00	65040400065	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LAS2	-1	Q	UNSELLABLE
2016-08-24T07:00:00+00:00	65040402065	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	LAS2	1	P	UNSELLABLE
2016-08-24T07:00:00+00:00	100994516112	X000YC2AS5	IceKing-SC-70	Ice King Extra Large Universal Magnetic Windshield Snow and Ice Cover	PHX6	-1	M	SELLABLE
2016-08-24T07:00:00+00:00	40975180165	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	PHL7	-1	O	UNSELLABLE
2016-08-21T07:00:00+00:00	45205678605	X0013ANGIZ	GH-50	FULL SET 50ft Heavy Duty Expandable Hose, Upgraded Brass Fittings, Shut-off Valve, Toughest, Flexible, Expanding Garden and Utility Water Hose, 50 foot, Sprayer, Hanger, Splitter Adapter, Tape	DFW7	-1	O	UNSELLABLE
2016-08-17T07:00:00+00:00	36363307633	X0013NSCCR	L55W-C5280-T	2016 Newest Toshiba Satellite Fusion 15 L55W 15.6" Flagship Touchscreen Laptop- Intel Core i5-5200U Processor, 8GB RAM, 750GB Hard Drive, HD LED Backlit Display, Webcam, HDMI, Bluetooth, Windows 10	TPA1	1	P	UNSELLABLE
2016-08-17T07:00:00+00:00	36363306633	X0013NSCCR	L55W-C5280-T	2016 Newest Toshiba Satellite Fusion 15 L55W 15.6" Flagship Touchscreen Laptop- Intel Core i5-5200U Processor, 8GB RAM, 750GB Hard Drive, HD LED Backlit Display, Webcam, HDMI, Bluetooth, Windows 10	TPA1	-1	E	SELLABLE
